394.25,9.65,9.43
422.05,9.65,8.81
477.55,9.65,7.78
533.15,9.65,6.98
588.75,9.65,6.31
272.05,10.34,14.56
277.55,10.34,14.26
283.15,10.34,14.03
288.75,10.34,13.71
294.25,10.34,13.46
299.85,10.34,13.2
305.35,10.34,12.96
310.95,10.34,12.73
322.05,10.34,12.3
333.15,10.34,11.89
338.75,10.34,11.69
366.45,10.34,10.81
394.25,10.34,10.04
422.05,10.34,9.39
477.55,10.34,8.3
533.15,10.34,7.43
588.75,10.34,6.73
272.05,13.79,18.98
277.55,13.79,18.6
283.15,13.79,18.29
288.75,13.79,17.88
294.25,13.79,17.54
299.85,13.79,17.22
305.35,13.79,16.9
310.95,13.79,16.6
322.05,13.79,16.03
333.15,13.79,15.49
338.75,13.79,15.23
366.45,13.79,14.08
394.25,13.79,13.09
422.05,13.79,12.24
477.55,13.79,10.81
533.15,13.79,9.68
588.75,13.79,8.76
272.05,17.24,23.39
277.55,17.24,22.92
283.15,17.24,22.55
288.75,17.24,22.04
294.25,17.24,21.62
299.85,17.24,21.22
305.35,17.24,20.84
310.95,17.24,20.47
322.05,17.24,19.77
333.15,17.24,19.11
338.75,17.24,18.79
366.45,17.24,17.36
394.25,17.24,16.15
422.05,17.24,15.07
477.55,17.24,13.33
533.15,17.24,11.93
588.75,17.24,10.81
272.05,20.68,27.81
277.55,20.68,27.26
283.15,20.68,26.81
288.75,20.68,26.21
294.25,20.68,25.71
299.85,20.68,25.23
305.35,20.68,24.78
310.95,20.68,24.33
322.05,20.68,23.5
333.15,20.68,22.71
338.75,20.68,22.35
366.45,20.68,20.65
394.25,20.68,19.19
422.05,20.68,17.92
477.55,20.68,15.84
533.15,20.68,14.19
588.75,20.68,12.85
272.05,27.58,36.68
277.55,27.58,35.88
283.15,27.58,35.4
288.75,27.58,34.6
294.25,27.58,33.96
299.85,27.58,33.32
305.35,27.58,32.68
310.95,27.58,32.04
322.05,27.58,30.96
333.15,27.58,29.92
338.75,27.58,29.44
366.45,27.58,27.2
394.25,27.58,25.29
422.05,27.58,23.63
477.55,27.58,20.87
533.15,27.58,18.69
588.75,27.58,16.93
272.05,34.47,45.49
277.55,34.47,44.53
283.15,34.47,43.89
288.75,34.47,42.93
294.25,34.47,42.13
299.85,34.47,41.33
305.35,34.47,40.53
310.95,34.47,39.73
322.05,34.47,38.44
333.15,34.47,37.16
338.75,34.47,36.52
366.45,34.47,33.8
394.25,34.47,31.38
422.05,34.47,29.31
477.55,34.47,25.92
533.15,34.47,23.21
588.75,34.47,21.02
272.05,48.26,63.11
277.55,48.26,61.83
283.15,48.26,60.87
288.75,48.26,59.59
294.25,48.26,58.47
299.85,48.26,57.35
305.35,48.26,56.22
310.95,48.26,55.26
322.05,48.26,53.34
333.15,48.26,51.58
338.75,48.26,50.78
366.45,48.26,46.93
394.25,48.26,43.57
422.05,48.26,40.69
477.55,48.26,36.04
533.15,48.26,32.2
588.75,48.26,29.19
272.05,55.16,71.92
277.55,55.16,70.48
283.15,55.16,69.36
288.75,55.16,67.92
294.25,55.16,66.64
299.85,55.16,65.36
305.35,55.16,64.07
310.95,55.16,62.95
322.05,55.16,60.87
333.15,55.16,58.79
338.75,55.16,57.83
366.45,55.16,53.5
394.25,55.16,49.66
422.05,55.16,46.45
477.55,55.16,41.01
533.15,55.16,36.68
588.75,55.16,33.32
272.05,62.05,80.89
277.55,62.05,79.29
283.15,62.05,78.01
288.75,62.05,76.25
294.25,62.05,74.81
299.85,62.05,73.36
305.35,62.05,72.08
310.95,62.05,70.8
322.05,62.05,68.24
333.15,62.05,66.0
338.75,62.05,64.87
366.45,62.05,60.07
394.25,62.05,55.74
422.05,62.05,52.06
477.55,62.05,45.97
533.15,62.05,41.33
588.75,62.05,37.32
272.05,68.95,89.7
277.55,68.95,87.94
